Firm,Period,ROA_in_percent,Treated,After_YoY,ICB Sector
AALI.JK,2020Q2,0.093413644,0,1,Food Producers
ABBA.JK,2020Q2,-6.905750142,1,1,Industrial Support Services
ABDA.JK,2020Q2,0.809076349,1,1,Non-life Insurance
ABMM.JK,2020Q2,0.34515499,0,1,"Oil, Gas and Coal"
ACES.JK,2020Q2,3.576190336,1,1,Retailers
ACST.JK,2020Q2,-2.929108095,0,1,Construction and Materials
ADES.JK,2020Q2,2.248704831,0,1,Beverages
ADHI.JK,2020Q2,-0.008797047,0,1,Construction and Materials
ADMF.JK,2020Q2,0.230515734,0,1,Finance and Credit Services
ADMG.JK,2020Q2,-2.798914809,0,1,Chemicals
ADRO.JK,2020Q2,0.897641377,0,1,"Oil, Gas and Coal"
AGAR.JK,2020Q2,0.002808499,0,1,Food Producers
AGII.JK,2020Q2,-0.030523205,0,1,Chemicals
AGRO.JK,2020Q2,0.012504502,0,1,Banks
AGRS.JK,2020Q2,1.790873633,0,1,Banks
AHAP.JK,2020Q2,0.747857972,1,1,Non-life Insurance
AIMS.JK,2020Q2,-0.492555701,0,1,Pharmaceuticals and Biotechnology
AISA.JK,2020Q2,-1.741529045,0,1,Food Producers
AKKU.JK,2020Q2,-0.998285331,0,1,General Industrials
AKPI.JK,2020Q2,0.68465805,0,1,Chemicals
AKRA.JK,2020Q2,1.052883528,0,1,"Oil, Gas and Coal"
AKSI.JK,2020Q2,-1.642973512,0,1,Investment Banking and Brokerage Services
ALDO.JK,2020Q2,1.529189215,0,1,Household Goods and Home Construction
ALKA.JK,2020Q2,0.674933516,1,1,Industrial Metals and Mining
ALMI.JK,2020Q2,3.128312313,1,1,Industrial Metals and Mining
ALTO.JK,2020Q2,-0.697130137,0,1,Food Producers
AMAG.JK,2020Q2,0.350009557,1,1,Non-life Insurance
AMAN.JK,2020Q2,-0.078260296,0,1,Real Estate Investment and Services Development
AMAR.JK,2020Q2,0.026310633,0,1,Banks
AMFG.JK,2020Q2,2.267613283,0,1,General Industrials
AMIN.JK,2020Q2,-1.249990781,0,1,Household Goods and Home Construction
AMOR.JK,2020Q2,2.998318547,0,1,Investment Banking and Brokerage Services
AMRT.JK,2020Q2,0.565764741,0,1,"Personal Care, Drug and Grocery Stores"
ANDI.JK,2020Q2,0.570079885,0,1,Food Producers
ANJT.JK,2020Q2,-0.702139732,0,1,Food Producers
ANTM.JK,2020Q2,1.206031969,1,1,Industrial Metals and Mining
APEX.JK,2020Q2,-0.626423189,0,1,"Oil, Gas and Coal"
APIC.JK,2020Q2,0.274526224,0,1,Investment Banking and Brokerage Services
APII.JK,2020Q2,1.261048592,1,1,Electronic and Electrical Equipment
APLI.JK,2020Q2,-0.556684549,0,1,General Industrials
APLN.JK,2020Q2,1.430652817,0,1,Real Estate Investment and Services Development
ARGO.JK,2020Q2,-6.74762752,1,1,Personal Goods
ARII.JK,2020Q2,0.335359463,0,1,"Oil, Gas and Coal"
ARKA.JK,2020Q2,-2.039993267,1,1,Industrial Engineering
ARMY.JK,2020Q2,0.272894786,0,1,Real Estate Investment and Services Development
ARNA.JK,2020Q2,3.182686535,0,1,Construction and Materials
ARTA.JK,2020Q2,-3.020317246,0,1,Investment Banking and Brokerage Services
ARTI.JK,2020Q2,-20.76414572,0,1,Household Goods and Home Construction
ARTO.JK,2020Q2,-1.749547357,0,1,Banks
ASBI.JK,2020Q2,0.268727881,1,1,Non-life Insurance
ASDM.JK,2020Q2,0.430922983,1,1,Non-life Insurance
ASGR.JK,2020Q2,0.705196461,0,1,Technology Hardware & Equipment
ASII.JK,2020Q2,2.097368577,1,1,Automobiles and Parts
ASJT.JK,2020Q2,-0.728413315,1,1,Non-life Insurance
ASMI.JK,2020Q2,1.151775219,1,1,Non-life Insurance
ASPI.JK,2020Q2,0,0,1,Real Estate Investment and Services Development
ASRI.JK,2020Q2,3.871606489,0,1,Real Estate Investment and Services Development
ASRM.JK,2020Q2,0.74046923,1,1,Non-life Insurance
ASSA.JK,2020Q2,-0.165937697,1,1,Consumer Services
ATAP.JK,2020Q2,0,0,1,Real Estate Investment and Services Development
ATIC.JK,2020Q2,-0.142794161,1,1,Software & Computer Services
AUTO.JK,2020Q2,-2.795635407,1,1,Automobiles and Parts
AYLS.JK,2020Q2,0,0,1,Construction and Materials
BABP.JK,2020Q2,0.011619009,0,1,Banks
BACA.JK,2020Q2,0.113439852,0,1,Banks
BAJA.JK,2020Q2,11.38741992,1,1,Industrial Metals and Mining
BALI.JK,2020Q2,0.514035532,0,1,Telecommunications Service Providers
BAPA.JK,2020Q2,-0.09973312,0,1,Real Estate Investment and Services Development
BAPI.JK,2020Q2,-0.181936748,0,1,Real Estate Investment and Services Development
BATA.JK,2020Q2,-0.878800031,1,1,Personal Goods
BAYU.JK,2020Q2,-1.300081118,1,1,Travel and Leisure
BBCA.JK,2020Q2,0.581320069,0,1,Banks
BBHI.JK,2020Q2,1.430720295,0,1,Banks
BBKP.JK,2020Q2,0.000549957,0,1,Banks
BBLD.JK,2020Q2,-0.0558596,0,1,Finance and Credit Services
BBMD.JK,2020Q2,0,0,1,Banks
BBNI.JK,2020Q2,0.027189501,0,1,Banks
BBRI.JK,2020Q2,0.147894693,0,1,Banks
BBRM.JK,2020Q2,-1.748550492,1,1,Industrial Transportation
BBSI.JK,2020Q2,0,0,1,Banks
BBSS.JK,2020Q2,0.046330557,0,1,Real Estate Investment and Services Development
BBTN.JK,2020Q2,0.099706875,0,1,Banks
BBYB.JK,2020Q2,0.264776668,0,1,Banks
BCAP.JK,2020Q2,-0.033830637,0,1,Investment Banking and Brokerage Services
BCIC.JK,2020Q2,0.047830549,0,1,Banks
BCIP.JK,2020Q2,1.087358869,0,1,Real Estate Investment and Services Development
BDMN.JK,2020Q2,-0.198249711,0,1,Banks
BEEF.JK,2020Q2,-3.47539618,0,1,Food Producers
BEKS.JK,2020Q2,-0.393261013,0,1,Banks
BELL.JK,2020Q2,-0.372605638,1,1,Personal Goods
BESS.JK,2020Q2,0.567862271,1,1,Industrial Transportation
BEST.JK,2020Q2,2.9321689,0,1,Real Estate Investment and Services Development
BFIN.JK,2020Q2,0.022606467,0,1,Investment Banking and Brokerage Services
BGTG.JK,2020Q2,0.06373823,0,1,Banks
BHAT.JK,2020Q2,0,0,1,Life Insurance
BHIT.JK,2020Q2,1.568293601,0,1,Telecommunications Service Providers
BIKA.JK,2020Q2,-1.398045,0,1,Real Estate Investment and Services Development
BIMA.JK,2020Q2,-8.085841686,1,1,Personal Goods
BINA.JK,2020Q2,0.009555739,0,1,Banks
BIPI.JK,2020Q2,0.550716995,0,1,"Oil, Gas and Coal"
BIPP.JK,2020Q2,0.862975208,0,1,Real Estate Investment and Services Development
BIRD.JK,2020Q2,-1.418491616,1,1,Travel and Leisure
BISI.JK,2020Q2,2.455600763,0,1,Food Producers
BJBR.JK,2020Q2,0.314320043,0,1,Banks
BJTM.JK,2020Q2,0.456499813,0,1,Banks
BKDP.JK,2020Q2,-0.792297524,0,1,Real Estate Investment and Services Development
BKSL.JK,2020Q2,-1.060730209,0,1,Real Estate Investment and Services Development
BKSW.JK,2020Q2,-2.429197165,0,1,Banks
BLTA.JK,2020Q2,2.589568616,1,1,Industrial Transportation
BLTZ.JK,2020Q2,-4.576558777,1,1,Media
BLUE.JK,2020Q2,0.650411809,1,1,Retailers
BMAS.JK,2020Q2,0.209604796,0,1,Banks
BMRI.JK,2020Q2,0.184963602,0,1,Banks
BMSR.JK,2020Q2,-1.888603139,0,1,Real Estate Investment and Services Development
BMTR.JK,2020Q2,2.490825441,1,1,Media
BNBA.JK,2020Q2,0.197467277,0,1,Banks
BNBR.JK,2020Q2,1.004340247,1,1,Industrial Metals and Mining
BNGA.JK,2020Q2,0.251129049,0,1,Banks
BNII.JK,2020Q2,0.159507866,0,1,Banks
BNLI.JK,2020Q2,0.224211609,0,1,Banks
BOGA.JK,2020Q2,0.313060744,1,1,Retailers
BOLA.JK,2020Q2,-4.050247454,1,1,Travel and Leisure
BOLT.JK,2020Q2,-1.796213688,1,1,Automobiles and Parts
BOSS.JK,2020Q2,-2.552683722,0,1,"Oil, Gas and Coal"
BPFI.JK,2020Q2,0.231099563,0,1,Investment Banking and Brokerage Services
BPII.JK,2020Q2,0.691999788,1,1,Industrial Support Services
BPTR.JK,2020Q2,0.04330612,1,1,Industrial Transportation
BRAM.JK,2020Q2,-0.128162378,0,1,Chemicals
BRIS.JK,2020Q2,0.091591855,0,1,Banks
BRMS.JK,2020Q2,0.110701369,1,1,Industrial Metals and Mining
BRNA.JK,2020Q2,-0.756952744,0,1,General Industrials
BRPT.JK,2020Q2,0.142462559,0,1,Construction and Materials
BSDE.JK,2020Q2,-0.538147555,0,1,Real Estate Investment and Services Development
BSIM.JK,2020Q2,0.05106849,0,1,Banks
BSSR.JK,2020Q2,2.953514518,0,1,"Oil, Gas and Coal"
BSWD.JK,2020Q2,0.035693459,0,1,Banks
BTEK.JK,2020Q2,-2.607240043,0,1,Food Producers
BTEL.JK,2020Q2,437.555638,0,1,Telecommunications Service Providers
BTON.JK,2020Q2,-9.624842886,1,1,Industrial Metals and Mining
BTPN.JK,2020Q2,0.190141161,0,1,Banks
BTPS.JK,2020Q2,0.028104747,0,1,Banks
BUDI.JK,2020Q2,0.271640163,0,1,Food Producers
BUKK.JK,2020Q2,2.110012701,0,1,Construction and Materials
BULL.JK,2020Q2,1.804129615,1,1,Industrial Transportation
BUMI.JK,2020Q2,-1.404022817,0,1,"Oil, Gas and Coal"
BUVA.JK,2020Q2,-0.873686161,0,1,Real Estate Investment and Services Development
BVIC.JK,2020Q2,0.004212088,0,1,Banks
BWPT.JK,2020Q2,-1.802662494,0,1,Food Producers
BYAN.JK,2020Q2,2.588452261,0,1,"Oil, Gas and Coal"
CAKK.JK,2020Q2,-2.413651981,0,1,Construction and Materials
CAMP.JK,2020Q2,0.305404043,0,1,Food Producers
CANI.JK,2020Q2,-10.77501821,1,1,Industrial Transportation
CARE.JK,2020Q2,0.203741412,0,1,Health Care Providers
CARS.JK,2020Q2,-1.071202624,1,1,Retailers
CASA.JK,2020Q2,0.217286715,0,1,Investment Banking and Brokerage Services
CASH.JK,2020Q2,0,1,1,Industrial Support Services
CASS.JK,2020Q2,-11.80376743,1,1,Industrial Transportation
CBMF.JK,2020Q2,0.265097998,0,1,Household Goods and Home Construction
CCSI.JK,2020Q2,0.830872508,1,1,Electronic and Electrical Equipment
CEKA.JK,2020Q2,0.041231238,0,1,Food Producers
CENT.JK,2020Q2,-0.475020975,0,1,Telecommunications Service Providers
CFIN.JK,2020Q2,0.082650493,0,1,Finance and Credit Services
CINT.JK,2020Q2,0.095305069,0,1,Household Goods and Home Construction
CITA.JK,2020Q2,4.212568879,1,1,Industrial Metals and Mining
CITY.JK,2020Q2,-0.384581917,0,1,Real Estate Investment and Services Development
CLAY.JK,2020Q2,-1.706981881,1,1,Travel and Leisure
CLEO.JK,2020Q2,2.194226497,0,1,Beverages
CLPI.JK,2020Q2,0.463878089,0,1,Chemicals
CMNP.JK,2020Q2,0.439372299,1,1,Industrial Transportation
CMPP.JK,2020Q2,-6.949226442,1,1,Travel and Leisure
CNKO.JK,2020Q2,20.14140191,0,1,"Oil, Gas and Coal"
CNTB.JK,2020Q2,-1.560073725,1,1,Personal Goods
COCO.JK,2020Q2,0.406208713,0,1,Food Producers
COWL.JK,2020Q2,-0.527877028,0,1,Real Estate Investment and Services Development
CPIN.JK,2020Q2,2.32672106,0,1,Food Producers
CPRI.JK,2020Q2,0,0,1,Construction and Materials
CPRO.JK,2020Q2,-0.783546205,0,1,Food Producers
CSAP.JK,2020Q2,0.212796852,1,1,Retailers
CSIS.JK,2020Q2,-0.291061209,0,1,Household Goods and Home Construction
CSMI.JK,2020Q2,-6.549300678,1,1,Travel and Leisure
CSRA.JK,2020Q2,0.752251208,0,1,Food Producers
CTBN.JK,2020Q2,0.955918994,1,1,Industrial Metals and Mining
CTRA.JK,2020Q2,-0.058586788,0,1,Real Estate Investment and Services Development
CTTH.JK,2020Q2,-0.079179869,0,1,Construction and Materials
DADA.JK,2020Q2,0,0,1,Real Estate Investment and Services Development
DART.JK,2020Q2,-1.694180748,0,1,Real Estate Investment and Services Development
DAYA.JK,2020Q2,-3.135725485,1,1,Retailers
DEAL.JK,2020Q2,-0.81218043,1,1,Industrial Support Services
DEFI.JK,2020Q2,-0.114586428,0,1,Investment Banking and Brokerage Services
DEWA.JK,2020Q2,0.126779927,1,1,Industrial Metals and Mining
DFAM.JK,2020Q2,-3.376395989,0,1,Real Estate Investment and Services Development
DGIK.JK,2020Q2,-0.620032155,0,1,Construction and Materials
DIGI.JK,2020Q2,-9.082590161,1,1,Media
DILD.JK,2020Q2,0.0001501,0,1,Real Estate Investment and Services Development
DIVA.JK,2020Q2,0.740200496,1,1,Software & Computer Services
DKFT.JK,2020Q2,4.853628388,1,1,Industrial Metals and Mining
DLTA.JK,2020Q2,-0.54873104,0,1,Beverages
DMAS.JK,2020Q2,0.348766821,0,1,Real Estate Investment and Services Development
DMMX.JK,2020Q2,0,1,1,Software & Computer Services
DMND.JK,2020Q2,0.442817881,0,1,Food Producers
DNAR.JK,2020Q2,0.128626612,0,1,Banks
DNET.JK,2020Q2,-0.115357689,1,1,Software & Computer Services
DOID.JK,2020Q2,1.330751587,0,1,"Oil, Gas and Coal"
DPNS.JK,2020Q2,-0.476069805,0,1,Chemicals
DPUM.JK,2020Q2,-8.955560067,0,1,Food Producers
DSFI.JK,2020Q2,-2.093608652,0,1,Food Producers
DSNG.JK,2020Q2,0.821271894,0,1,Construction and Materials
DSSA.JK,2020Q2,0.425528311,1,1,Electricity
DUCK.JK,2020Q2,1.521295759,1,1,Travel and Leisure
DUTI.JK,2020Q2,0.321069245,0,1,Real Estate Investment and Services Development
DVLA.JK,2020Q2,4.182345086,0,1,Pharmaceuticals and Biotechnology
DWGL.JK,2020Q2,2.316263871,0,1,"Oil, Gas and Coal"
DYAN.JK,2020Q2,-6.900033624,1,1,Industrial Support Services
EAST.JK,2020Q2,-0.823399475,1,1,Travel and Leisure
ECII.JK,2020Q2,-1.41576161,1,1,Retailers
EKAD.JK,2020Q2,1.694572904,0,1,Chemicals
ELSA.JK,2020Q2,1.059394792,0,1,"Oil, Gas and Coal"
ELTY.JK,2020Q2,-3.142095557,0,1,Real Estate Investment and Services Development
EMDE.JK,2020Q2,-0.754748355,0,1,Real Estate Investment and Services Development
EMTK.JK,2020Q2,-0.09751506,0,1,Telecommunications Equipment
ENRG.JK,2020Q2,1.989660507,0,1,"Oil, Gas and Coal"
ENVY.JK,2020Q2,0.104402595,1,1,Software & Computer Services
ENZO.JK,2020Q2,0,0,1,Food Producers
EPAC.JK,2020Q2,0,0,1,General Industrials
EPMT.JK,2020Q2,1.628602339,0,1,Pharmaceuticals and Biotechnology
ERAA.JK,2020Q2,0.147783565,1,1,Retailers
ERTX.JK,2020Q2,0.292732779,1,1,Personal Goods
ESIP.JK,2020Q2,0.569751632,0,1,General Industrials
ESSA.JK,2020Q2,-1.475568127,0,1,"Oil, Gas and Coal"
ESTA.JK,2020Q2,0.182996553,1,1,Travel and Leisure
ESTI.JK,2020Q2,0.464290809,1,1,Industrial Materials
ETWA.JK,2020Q2,-0.842467742,0,1,Chemicals
EXCL.JK,2020Q2,0.31708657,0,1,Telecommunications Service Providers
FAST.JK,2020Q2,-4.408888187,1,1,Travel and Leisure
FASW.JK,2020Q2,4.764128244,1,1,Industrial Materials
FILM.JK,2020Q2,-1.878807055,1,1,Media
FIRE.JK,2020Q2,1.270275492,1,1,Retailers
FISH.JK,2020Q2,2.156971177,0,1,Food Producers
FITT.JK,2020Q2,-5.097115611,1,1,Travel and Leisure
FMII.JK,2020Q2,-0.610947953,1,1,Personal Goods
FOOD.JK,2020Q2,-0.767694673,0,1,Food Producers
FORU.JK,2020Q2,-6.048710686,1,1,Media
FORZ.JK,2020Q2,0.939117201,0,1,Real Estate Investment and Services Development
FPNI.JK,2020Q2,7.049092819,0,1,General Industrials
FREN.JK,2020Q2,1.635931728,0,1,Telecommunications Service Providers
FUJI.JK,2020Q2,1.354236199,0,1,Investment Banking and Brokerage Services
GAMA.JK,2020Q2,-0.267454237,0,1,Real Estate Investment and Services Development
GDST.JK,2020Q2,1.844571346,1,1,Industrial Metals and Mining
GDYR.JK,2020Q2,-6.491151606,1,1,Automobiles and Parts
GEMA.JK,2020Q2,-0.289366091,0,1,Household Goods and Home Construction
GEMS.JK,2020Q2,2.6342845,0,1,"Oil, Gas and Coal"
GGRM.JK,2020Q2,1.761928732,1,1,Tobacco
GGRP.JK,2020Q2,-1.109772002,1,1,Industrial Metals and Mining
GHON.JK,2020Q2,2.353157716,0,1,Telecommunications Service Providers
GIAA.JK,2020Q2,-2.623358914,1,1,Travel and Leisure
GJTL.JK,2020Q2,1.355307229,1,1,Automobiles and Parts
GLOB.JK,2020Q2,-10.25747851,1,1,Retailers
GLVA.JK,2020Q2,-0.127809058,1,1,Software & Computer Services
GMFI.JK,2020Q2,-1.616402245,1,1,Industrial Transportation
GMTD.JK,2020Q2,0.319292981,0,1,Real Estate Investment and Services Development
GOLD.JK,2020Q2,0.89801304,1,1,Retailers
GOLL.JK,2020Q2,-0.337530853,0,1,Food Producers
GOOD.JK,2020Q2,-0.539433535,0,1,Food Producers
GPRA.JK,2020Q2,-0.571854334,0,1,Real Estate Investment and Services Development
GSMF.JK,2020Q2,-0.201268324,0,1,Investment Banking and Brokerage Services
GTBO.JK,2020Q2,0.976956222,0,1,"Oil, Gas and Coal"
GWSA.JK,2020Q2,0.076588345,0,1,Real Estate Investment and Services Development
GZCO.JK,2020Q2,-5.837227173,0,1,Food Producers
HADE.JK,2020Q2,-2.583876135,0,1,Investment Banking and Brokerage Services
HDFA.JK,2020Q2,-2.479582988,0,1,Finance and Credit Services
HDIT.JK,2020Q2,0.077991824,1,1,Industrial Support Services
HDTX.JK,2020Q2,-8.39207431,1,1,Industrial Materials
HEAL.JK,2020Q2,1.93605666,0,1,Health Care Providers
HELI.JK,2020Q2,0.006781741,1,1,Travel and Leisure
HERO.JK,2020Q2,-2.430719652,1,1,Retailers
HEXA.JK,2020Q2,3.024150732,1,1,Industrial Engineering
HITS.JK,2020Q2,2.523956522,1,1,Industrial Transportation
HKMU.JK,2020Q2,0.590983396,0,1,Construction and Materials
HMSP.JK,2020Q2,2.974695127,1,1,Tobacco
HOKI.JK,2020Q2,1.080756963,0,1,Food Producers
HOME.JK,2020Q2,-0.915061926,1,1,Travel and Leisure
HOMI.JK,2020Q2,0,0,1,Real Estate Investment and Services Development
HOTL.JK,2020Q2,-1.219673359,1,1,Travel and Leisure
HRME.JK,2020Q2,-0.682537865,1,1,Travel and Leisure
HRTA.JK,2020Q2,1.651083187,1,1,Personal Goods
HRUM.JK,2020Q2,4.79728938,0,1,"Oil, Gas and Coal"
IATA.JK,2020Q2,-1.882125196,1,1,Travel and Leisure
IBFN.JK,2020Q2,0.09867396,0,1,Finance and Credit Services
IBST.JK,2020Q2,0.21390919,0,1,Telecommunications Service Providers
ICBP.JK,2020Q2,3.461922156,0,1,Food Producers
ICON.JK,2020Q2,1.07363348,0,1,Real Estate Investment and Services Development
IDPR.JK,2020Q2,-4.061920682,0,1,Construction and Materials
IFII.JK,2020Q2,1.343390331,0,1,Construction and Materials
IFSH.JK,2020Q2,2.244435845,1,1,Industrial Metals and Mining
IGAR.JK,2020Q2,2.851005776,0,1,General Industrials
IIKP.JK,2020Q2,-0.698079625,0,1,Food Producers
IKAI.JK,2020Q2,-1.831579462,0,1,Construction and Materials
IKAN.JK,2020Q2,-2.51681615,0,1,Food Producers
IKBI.JK,2020Q2,-0.776812551,1,1,Electronic and Electrical Equipment
IMAS.JK,2020Q2,-0.472520946,1,1,Automobiles and Parts
IMJS.JK,2020Q2,0.060469118,1,1,Consumer Services
IMPC.JK,2020Q2,-1.15556387,0,1,General Industrials
INAF.JK,2020Q2,1.143135151,0,1,Pharmaceuticals and Biotechnology
INAI.JK,2020Q2,0.112763745,1,1,Industrial Metals and Mining
INCF.JK,2020Q2,-0.956643167,0,1,Chemicals
INCI.JK,2020Q2,0.884921806,0,1,Chemicals
INCO.JK,2020Q2,1.089965074,1,1,Precious Metals and Mining
INDF.JK,2020Q2,1.61041198,0,1,Food Producers
INDO.JK,2020Q2,-1.021997129,1,1,Consumer Services
INDR.JK,2020Q2,-0.421193086,1,1,Personal Goods
INDS.JK,2020Q2,-0.583110652,1,1,Automobiles and Parts
INDX.JK,2020Q2,-0.466620423,1,1,Software & Computer Services
INDY.JK,2020Q2,0.058023228,0,1,"Oil, Gas and Coal"
INKP.JK,2020Q2,0.286970872,1,1,Industrial Materials
INOV.JK,2020Q2,3.177579976,0,1,Chemicals
INPC.JK,2020Q2,0.031009677,0,1,Banks
INPP.JK,2020Q2,1.594145782,0,1,Real Estate Investment and Services Development
INPS.JK,2020Q2,-0.978499542,1,1,Industrial Transportation
INRU.JK,2020Q2,-0.443220272,1,1,Industrial Materials
INTD.JK,2020Q2,-4.635202695,1,1,Leisure Goods
INTP.JK,2020Q2,0.255782002,0,1,Construction and Materials
IPCC.JK,2020Q2,-1.0631497,1,1,Industrial Transportation
IPCM.JK,2020Q2,2.419748653,1,1,Industrial Transportation
IPOL.JK,2020Q2,0.527896332,0,1,General Industrials
IPTV.JK,2020Q2,0.834761545,1,1,Media
IRRA.JK,2020Q2,2.620083733,0,1,Medical Equipment and Services
ISAT.JK,2020Q2,0.451643542,0,1,Telecommunications Service Providers
ISSP.JK,2020Q2,1.227190978,1,1,Industrial Metals and Mining
ITIC.JK,2020Q2,0.598340765,1,1,Tobacco
ITMA.JK,2020Q2,2.267968908,0,1,"Oil, Gas and Coal"
ITMG.JK,2020Q2,1.141406246,0,1,"Oil, Gas and Coal"
JAST.JK,2020Q2,-2.311778616,0,1,Telecommunications Service Providers
JAWA.JK,2020Q2,-2.707279928,0,1,Food Producers
JAYA.JK,2020Q2,0.15112585,1,1,Industrial Transportation
JECC.JK,2020Q2,-0.297809216,0,1,Technology Hardware & Equipment
JGLE.JK,2020Q2,-0.863276549,1,1,Travel and Leisure
JIHD.JK,2020Q2,-1.180037795,0,1,Real Estate Investment and Services Development
JKON.JK,2020Q2,-0.596569561,0,1,Construction and Materials
JKSW.JK,2020Q2,-0.300349059,1,1,Industrial Metals and Mining
JMAS.JK,2020Q2,-0.380704522,0,1,Life Insurance
JPFA.JK,2020Q2,-0.668851728,0,1,Food Producers
JRPT.JK,2020Q2,1.713650313,0,1,Real Estate Investment and Services Development
JSKY.JK,2020Q2,1.04156755,0,1,Alternative Energy
JSMR.JK,2020Q2,-0.624067526,1,1,Industrial Transportation
JSPT.JK,2020Q2,0.879116793,1,1,Travel and Leisure
JTPE.JK,2020Q2,0.828670696,1,1,Industrial Support Services
KAEF.JK,2020Q2,0.208405442,0,1,Pharmaceuticals and Biotechnology
KARW.JK,2020Q2,1.14902698,1,1,Personal Goods
KAYU.JK,2020Q2,-1.527443359,0,1,Construction and Materials
KBAG.JK,2020Q2,0,0,1,Real Estate Investment and Services Development
KBLI.JK,2020Q2,-2.568843082,1,1,Electronic and Electrical Equipment
KBLM.JK,2020Q2,0.000744085,1,1,Electronic and Electrical Equipment
KBLV.JK,2020Q2,4.653174497,0,1,Telecommunications Service Providers
KBRI.JK,2020Q2,-0.051015332,1,1,Industrial Materials
KDSI.JK,2020Q2,0.864123163,0,1,Household Goods and Home Construction
KEEN.JK,2020Q2,-1.274833196,1,1,Electricity
