Firm,Period,Code,ICB Sector,ROA,ROE,Treated,After,TA,Total Liabilities,FCF,OI_GROWTH,REV_GROWTH
AALI.JK,2020Q2,AALI.JK2020Q2,Food Producers,0.093413644,0.110357465,0,1,2.92186E+13,1.03223E+13,5.13882E+11,7.205318793,13.306072
ACES.JK,2020Q2,ACES.JK2020Q2,Retailers,3.576190336,5.148362188,1,1,6.64181E+12,1.01851E+12,3.21552E+11,-0.023959241,4.434520763
ADES.JK,2020Q2,ADES.JK2020Q2,Beverages,2.248704831,3.126127812,0,1,8.45976E+11,2.54438E+11,43717000000,0.835173734,4.077619122
ADMF.JK,2020Q2,ADMF.JK2020Q2,Finance and Credit Services,0.230515734,1.026339636,0,1,3.47979E+13,2.73249E+13,5.28552E+11,0.08686108,6.194665652
ALDO.JK,2020Q2,ALDO.JK2020Q2,Household Goods and Home Construction,1.529189215,2.378251671,0,1,9.38793E+11,5.09049E+11,23265172390,-0.362784091,3.474614206
AMRT.JK,2020Q2,AMRT.JK2020Q2,"Personal Care, Drug and Grocery Stores",0.565764741,2.079482329,0,1,3.01789E+13,1.72954E+13,3.24554E+11,0.205587162,15.66835536
APIC.JK,2020Q2,APIC.JK2020Q2,Investment Banking and Brokerage Services,0.274526224,0.522110558,1,1,4.17216E+12,1.88631E+12,25320228870,0.730515169,383.599174
ASGR.JK,2020Q2,ASGR.JK2020Q2,Technology Hardware & Equipment,0.705196461,1.161641181,0,1,2.68021E+12,1.05464E+12,56140000000,-0.698463833,-2.804439564
ASII.JK,2020Q2,ASII.JK2020Q2,Automobiles and Parts,2.097368577,4.274093837,1,1,3.6674E+14,2.12159E+14,8.053E+12,-0.170957478,-9.403258007
ASSA.JK,2020Q2,ASSA.JK2020Q2,Consumer Services,-0.165937697,0.664331958,1,1,5.11113E+12,3.88599E+12,1.5947E+11,0.046553576,37.93087779
BAYU.JK,2020Q2,BAYU.JK2020Q2,Travel and Leisure,-1.300081118,-2.276112016,1,1,7.54262E+11,3.81466E+11,19888014360,-0.016272349,-15.10995999
BBLD.JK,2020Q2,BBLD.JK2020Q2,Finance and Credit Services,-0.0558596,-0.227960425,0,1,5.01277E+12,3.84392E+12,18022000000,0.069356939,0.506274056
BFIN.JK,2020Q2,BFIN.JK2020Q2,Investment Banking and Brokerage Services,0.022606467,0.067099105,1,1,1.96778E+13,1.33722E+13,3.20769E+11,-0.031368672,9.589334467
BIPI.JK,2020Q2,BIPI.JK2020Q2,"Oil, Gas and Coal",0.550716995,2.296948004,0,1,1.86499E+13,1.34169E+13,1.36476E+11,-0.081170921,42.95090389
BISI.JK,2020Q2,BISI.JK2020Q2,Food Producers,2.455600763,2.937051489,0,1,2.88887E+12,5.48393E+11,24483000000,-0.655416845,-27.61008411
BLTA.JK,2020Q2,BLTA.JK2020Q2,Industrial Transportation,2.589568616,5.590901446,1,1,1.10481E+12,5.10231E+11,4949746800,5.888993032,-11.07180891
BMSR.JK,2020Q2,BMSR.JK2020Q2,Real Estate Investment and Services Development,-1.888603139,-8.746390485,1,1,7.56984E+11,4.71607E+11,1222667780,-0.494026327,-10.8674487
BMTR.JK,2020Q2,BMTR.JK2020Q2,Media,2.490825441,3.732912561,1,1,3.05612E+13,1.90866E+13,7.30273E+11,0.255672552,0.138102116
BPFI.JK,2020Q2,BPFI.JK2020Q2,Investment Banking and Brokerage Services,0.231099563,0.474473201,1,1,1.82749E+12,9.89771E+11,19181059250,-0.096395917,7.516284559
BPII.JK,2020Q2,BPII.JK2020Q2,Industrial Support Services,0.691999788,1.501798761,1,1,2.62638E+12,1.66436E+12,39067191280,-0.173968028,7.97261724
BPTR.JK,2020Q2,BPTR.JK2020Q2,Industrial Transportation,0.04330612,0.10302464,1,1,5.33203E+11,3.12499E+11,15154445950,-0.080150765,2.431314126
BSDE.JK,2020Q2,BSDE.JK2020Q2,Real Estate Investment and Services Development,-0.538147555,-1.216916334,1,1,6.01053E+13,2.53136E+13,2.46894E+11,0.150664067,-8.209811695
BUKK.JK,2020Q2,BUKK.JK2020Q2,Construction and Materials,2.110012701,3.879724815,0,1,4.80363E+12,2.24364E+12,1.44299E+11,-0.351030677,-37.8762675
BYAN.JK,2020Q2,BYAN.JK2020Q2,"Oil, Gas and Coal",2.588452261,5.929446344,0,1,2.21345E+13,1.33647E+13,5.99544E+11,-0.47389142,2.243034108
CAMP.JK,2020Q2,CAMP.JK2020Q2,Food Producers,0.305404043,0.345890332,0,1,1.07688E+12,1.29834E+11,7071881370,-0.406298223,-3.921782666
CFIN.JK,2020Q2,CFIN.JK2020Q2,Finance and Credit Services,0.082650493,0.198655354,0,1,1.18766E+13,7.09014E+12,93887370000,0.054484956,7.222956344
CLPI.JK,2020Q2,CLPI.JK2020Q2,Chemicals,0.463878089,0.686655378,0,1,7.12009E+11,2.2062E+11,8225019650,0.555779533,-0.752559048
CPIN.JK,2020Q2,CPIN.JK2020Q2,Food Producers,2.32672106,3.269504904,0,1,3.07515E+13,8.2265E+12,6.28808E+11,-0.023736993,-30.66905371
CTBN.JK,2020Q2,CTBN.JK2020Q2,Industrial Metals and Mining,0.955918994,1.357273063,1,1,2.50433E+12,8.33091E+11,18745163000,0.096219887,-9.472646769
CTRA.JK,2020Q2,CTRA.JK2020Q2,Real Estate Investment and Services Development,-0.058586788,-0.054091247,1,1,3.78701E+13,2.08435E+13,7.96291E+11,0.175846607,-8.312645895
DILD.JK,2020Q2,DILD.JK2020Q2,Real Estate Investment and Services Development,0.0001501,0.102303304,1,1,1.59278E+13,8.58181E+12,3.55063E+11,4.291912794,-6.428385273
DLTA.JK,2020Q2,DLTA.JK2020Q2,Beverages,-0.54873104,-0.617467612,0,1,1.44628E+12,2.16459E+11,98181193000,-0.057777938,-32.50233739
DMAS.JK,2020Q2,DMAS.JK2020Q2,Real Estate Investment and Services Development,0.348766821,0.43018856,1,1,7.6598E+12,1.2227E+12,58721224450,-1.973027874,1590.009982
DSFI.JK,2020Q2,DSFI.JK2020Q2,Food Producers,-2.093608652,-4.199021225,0,1,3.96237E+11,1.94601E+11,4183805660,0.691462271,-35.42228947
DSNG.JK,2020Q2,DSNG.JK2020Q2,Construction and Materials,0.821271894,2.674498953,0,1,1.20068E+13,7.97458E+12,1.94773E+11,-0.099214898,15.92798147
DSSA.JK,2020Q2,DSSA.JK2020Q2,Electricity,0.425528311,0.663534128,1,1,5.79734E+13,3.09986E+13,4.64696E+11,2.513290142,6.042710682
DUTI.JK,2020Q2,DUTI.JK2020Q2,Real Estate Investment and Services Development,0.321069245,0.300782273,1,1,1.37666E+13,5.06948E+12,5.19691E+11,0.658998806,-25.20884588
EKAD.JK,2020Q2,EKAD.JK2020Q2,Chemicals,1.694572904,1.927592586,0,1,1.01299E+12,1.4479E+11,13694993500,0.008475613,-2.785367876
EPMT.JK,2020Q2,EPMT.JK2020Q2,Pharmaceuticals and Biotechnology,1.628602339,2.346797249,0,1,9.60889E+12,3.35155E+12,1.41565E+11,0.206601623,9.115641886
ERAA.JK,2020Q2,ERAA.JK2020Q2,Retailers,0.147783565,0.217444463,1,1,9.94369E+12,5.00797E+12,35745881000,0.209990117,9.583957938
ESSA.JK,2020Q2,ESSA.JK2020Q2,"Oil, Gas and Coal",-1.475568127,-4.279567331,0,1,1.47052E+13,9.82511E+12,88016133600,-0.73749629,24.13333025
ESTI.JK,2020Q2,ESTI.JK2020Q2,Industrial Materials,0.464290809,2.00380456,1,1,9.42049E+11,7.26204E+11,5482179000,-0.768641578,16.66886271
FAST.JK,2020Q2,FAST.JK2020Q2,Travel and Leisure,-4.408888187,-10.07247444,1,1,3.62033E+12,1.74511E+12,35001532000,-0.470624842,-0.828182986
GEMA.JK,2020Q2,GEMA.JK2020Q2,Household Goods and Home Construction,-0.289366091,0.072307816,0,1,9.1987E+11,5.75955E+11,4534172050,0.329444481,-8.054190733
GGRM.JK,2020Q2,GGRM.JK2020Q2,Tobacco,1.761928732,2.541772029,1,1,7.68286E+13,2.34513E+13,1.39807E+12,0.002764475,4.062987384
GPRA.JK,2020Q2,GPRA.JK2020Q2,Real Estate Investment and Services Development,-0.571854334,-0.795405769,1,1,1.70592E+12,7.41496E+11,20064635390,0.525749127,-30.35902653
GWSA.JK,2020Q2,GWSA.JK2020Q2,Real Estate Investment and Services Development,0.076588345,0.119078797,1,1,7.63402E+12,7.30965E+11,55955175170,-0.819672858,-41.13903724
HEXA.JK,2020Q2,HEXA.JK2020Q2,Industrial Engineering,3.024150732,4.304801934,1,1,4.33617E+12,1.42944E+12,24857500000,-0.537095716,-18.20277118
HMSP.JK,2020Q2,HMSP.JK2020Q2,Tobacco,2.974695127,4.764816072,1,1,6.33E+13,2.42324E+13,3.4858E+12,0.014412838,-0.490487039
HRTA.JK,2020Q2,HRTA.JK2020Q2,Personal Goods,1.651083187,3.319258931,1,1,2.33634E+12,1.10035E+12,30737925420,0.62732213,9.129097872
HRUM.JK,2020Q2,HRUM.JK2020Q2,"Oil, Gas and Coal",4.79728938,6.553607391,0,1,7.25989E+12,2.18199E+12,69475979000,-0.511923891,-2.769138982
IGAR.JK,2020Q2,IGAR.JK2020Q2,General Industrials,2.851005776,3.40754937,1,1,6.56351E+11,2.32869E+11,6351735070,0.793986126,-6.511154688
INDR.JK,2020Q2,INDR.JK2020Q2,Personal Goods,-0.421193086,-0.866199477,1,1,1.28027E+13,6.67789E+12,1.21464E+11,-0.725587712,2.348638313
INDS.JK,2020Q2,INDS.JK2020Q2,Automobiles and Parts,-0.583110652,-0.644625767,1,1,2.8934E+12,2.74841E+11,50640910570,119.6876977,-7.845334207
INDY.JK,2020Q2,INDY.JK2020Q2,"Oil, Gas and Coal",0.058023228,-0.111714634,0,1,5.73891E+13,4.40999E+13,47593392000,-1.535643772,4.828819425
INKP.JK,2020Q2,INKP.JK2020Q2,Industrial Materials,0.286970872,0.570502143,1,1,1.36696E+14,6.24175E+13,1.2688E+12,-0.386101173,15.15926362
INPS.JK,2020Q2,INPS.JK2020Q2,Industrial Transportation,-0.978499542,-3.46035797,1,1,4.72382E+11,3.38977E+11,8195668000,0.717727103,-24.42810134
INTP.JK,2020Q2,INTP.JK2020Q2,Construction and Materials,0.255782002,0.296026257,0,1,2.73816E+13,3.89892E+12,5.08949E+11,-0.021922164,-9.912273934
IPOL.JK,2020Q2,IPOL.JK2020Q2,General Industrials,0.527896332,0.822560188,1,1,4.47085E+12,1.67225E+12,49645290000,-0.258044422,7.799735222
ITMA.JK,2020Q2,ITMA.JK2020Q2,"Oil, Gas and Coal",2.267968908,2.272204157,0,1,2.41059E+12,505911900,63272012700,-0.202825548,14.50649807
ITMG.JK,2020Q2,ITMG.JK2020Q2,"Oil, Gas and Coal",1.141406246,1.663054536,0,1,2.01984E+13,5.99558E+12,4.44208E+11,-0.115732101,-7.514439241
JIHD.JK,2020Q2,JIHD.JK2020Q2,Real Estate Investment and Services Development,-1.180037795,-1.311898692,1,1,6.87133E+12,3.2032E+12,38947669000,-1.650071629,-2.219791252
JRPT.JK,2020Q2,JRPT.JK2020Q2,Real Estate Investment and Services Development,1.713650313,2.751643087,1,1,1.15367E+13,4.36444E+12,1.94953E+11,-0.076190162,-2.023773287
KDSI.JK,2020Q2,KDSI.JK2020Q2,Household Goods and Home Construction,0.864123163,1.760226418,0,1,1.27089E+12,6.48239E+11,29040735720,-0.346119839,-11.17343863
KICI.JK,2020Q2,KICI.JK2020Q2,Household Goods and Home Construction,-0.354714952,-0.653985012,0,1,1.60149E+11,65463957070,7576290,-0.272901216,23.1314856
KLBF.JK,2020Q2,KLBF.JK2020Q2,Pharmaceuticals and Biotechnology,3.306642516,4.382426597,0,1,2.21322E+13,5.69472E+12,4.54104E+11,0.142153187,8.016085503
MAPB.JK,2020Q2,MAPB.JK2020Q2,Travel and Leisure,-3.720448364,-8.852787318,1,1,2.68387E+12,1.51241E+12,93076000000,-1.652529696,-3.050071228
MARI.JK,2020Q2,MARI.JK2020Q2,Media,2.779297348,4.392853882,1,1,3.41202E+11,1.20158E+11,4999331150,-0.082539727,3.476622417
MBAP.JK,2020Q2,MBAP.JK2020Q2,"Oil, Gas and Coal",4.105589606,5.536949164,0,1,3.60582E+12,9.91357E+11,2.89369E+11,1.851655029,18.67608497
MFIN.JK,2020Q2,MFIN.JK2020Q2,Finance and Credit Services,0.328344009,0.660635642,0,1,4.91819E+12,2.55024E+12,1.06078E+11,0.224853885,23.40209395
MIDI.JK,2020Q2,MIDI.JK2020Q2,Retailers,1.097129553,4.843183442,1,1,5.56843E+12,3.76982E+12,18664000000,-0.232122177,19.7839111
MIKA.JK,2020Q2,MIKA.JK2020Q2,Health Care Providers,1.667374521,2.059041426,0,1,5.80481E+12,1.3304E+12,1.85639E+11,0.072520125,8.709110054
MMLP.JK,2020Q2,MMLP.JK2020Q2,Industrial Support Services,0.727364484,-0.278752814,1,1,6.68774E+12,2.63719E+12,24931247000,0.203587425,8.448538495
MNCN.JK,2020Q2,MNCN.JK2020Q2,Media,3.67548235,5.311046109,1,1,1.833E+13,6.63041E+12,2.87401E+11,0.056574946,6.861963946
MSKY.JK,2020Q2,MSKY.JK2020Q2,Media,-1.152034888,-1.798164061,1,1,4.29503E+12,1.60143E+12,1.40708E+11,-1.341939358,-13.50462306
MTDL.JK,2020Q2,MTDL.JK2020Q2,Technology Hardware & Equipment,1.712376677,2.829289561,0,1,5.15534E+12,2.96223E+12,1.22307E+11,0.165182376,4.936635859
MYOH.JK,2020Q2,MYOH.JK2020Q2,"Oil, Gas and Coal",9.644731551,12.40137152,0,1,2.27041E+12,5.26942E+11,1.40596E+11,-0.232463756,-6.716179865
NFCX.JK,2020Q2,NFCX.JK2020Q2,Software & Computer Services,1.040163718,1.050007801,1,1,1.43198E+12,9.4007E+11,11576499970,-0.177480145,143.134225
NIPS.JK,2020Q2,NIPS.JK2020Q2,Electronic and Electrical Equipment,0.642446016,1.345758207,1,1,1.78386E+12,9.47138E+11,12688353000,0.177037585,-7.39618661
PBID.JK,2020Q2,PBID.JK2020Q2,General Industrials,3.383827775,4.585523783,1,1,2.38958E+12,6.63022E+11,47482360000,0.006204499,-18.74186949
PBRX.JK,2020Q2,PBRX.JK2020Q2,Personal Goods,1.89385644,3.793859645,1,1,1.01666E+13,5.58485E+12,81378717600,0.646200276,23.40892945
PGAS.JK,2020Q2,PGAS.JK2020Q2,"Gas, Water and Multi-utilities",-0.368704207,-1.607570299,0,1,1.2936E+14,6.68023E+13,8.87026E+11,-0.002494985,16.27319627
POWR.JK,2020Q2,POWR.JK2020Q2,Electricity,2.504863396,4.886548187,1,1,2.11433E+13,9.23256E+12,99264763200,0.104690253,2.899002726
PPRE.JK,2020Q2,PPRE.JK2020Q2,Construction and Materials,0.143997491,0.219077533,0,1,7.29845E+12,5.05973E+12,53178747180,-0.507635957,-36.33425348
PTBA.JK,2020Q2,PTBA.JK2020Q2,"Oil, Gas and Coal",1.432452631,2.169416364,0,1,2.77286E+13,7.83978E+12,8.51194E+11,-0.159524625,-4.018687771
PTIS.JK,2020Q2,PTIS.JK2020Q2,General Industrials,0.003001754,0.006432051,1,1,5.74611E+11,3.03462E+11,10051558000,0.19159561,11.27728872
PYFA.JK,2020Q2,PYFA.JK2020Q2,Pharmaceuticals and Biotechnology,0.654998117,1.025417073,0,1,2.0505E+11,66060214690,4400044570,0.01431844,23.8428207
RALS.JK,2020Q2,RALS.JK2020Q2,Retailers,-0.141167241,-0.189889276,1,1,5.77719E+12,1.58879E+12,42905000000,-1.215253517,-12.41984146
RANC.JK,2020Q2,RANC.JK2020Q2,"Personal Care, Drug and Grocery Stores",2.331276089,5.365417269,0,1,1.29241E+12,7.54234E+11,10627659850,2.035848221,33.17630343
RIGS.JK,2020Q2,RIGS.JK2020Q2,Industrial Transportation,-1.023625581,-1.17108708,1,1,8.74429E+11,1.44152E+11,50055444000,-6.540196052,-25.22215673
RIMO.JK,2020Q2,RIMO.JK2020Q2,Retailers,0.097870048,-0.097174898,1,1,6.40833E+12,1.6289E+12,19650325010,-0.561522556,101.8516263
SCCO.JK,2020Q2,SCCO.JK2020Q2,Electronic and Electrical Equipment,0.713109126,0.896168918,1,1,4.13658E+12,1.24457E+12,73147828670,0.028029802,1.250000125
SCMA.JK,2020Q2,SCMA.JK2020Q2,Media,3.932034089,5.66142572,1,1,7.18791E+12,1.99635E+12,3.20968E+11,-0.024982642,-1.485205311
SCPI.JK,2020Q2,SCPI.JK2020Q2,Pharmaceuticals and Biotechnology,2.343129822,5.735927057,0,1,1.78125E+12,1.07816E+12,89024742000,1.022155658,92.41816606
SHIP.JK,2020Q2,SHIP.JK2020Q2,Industrial Transportation,2.204141314,4.343279034,1,1,3.88111E+12,2.16603E+12,1.0868E+11,-0.043573267,13.69151406
SIDO.JK,2020Q2,SIDO.JK2020Q2,Food Producers,5.076667973,5.718821149,0,1,3.73604E+12,4.39715E+11,2.29889E+11,0.097270424,2.387494623
SIPD.JK,2020Q2,SIPD.JK2020Q2,Food Producers,-0.769507683,-2.001709402,0,1,2.4247E+12,1.55458E+12,29637000000,0.962765526,22.18803794
SKLT.JK,2020Q2,SKLT.JK2020Q2,Food Producers,0.659322356,1.349172149,0,1,8.05409E+11,4.09886E+11,7036522710,0.078089634,6.988791106
SMDM.JK,2020Q2,SMDM.JK2020Q2,Real Estate Investment and Services Development,0.023987695,-0.191348509,1,1,3.21402E+12,1.4355E+12,6203779820,-0.75203038,-23.15210954
SMGR.JK,2020Q2,SMGR.JK2020Q2,Construction and Materials,0.229617468,0.505147985,0,1,7.92839E+13,4.62805E+13,8.50687E+11,0.166738664,5.573454653
SMSM.JK,2020Q2,SMSM.JK2020Q2,Automobiles and Parts,2.67877168,3.914429858,1,1,3.49985E+12,1.27731E+12,1.36391E+11,8.9515E-05,-9.855667233
SRIL.JK,2020Q2,SRIL.JK2020Q2,Personal Goods,1.794266189,4.645889814,1,1,2.16424E+13,1.23459E+13,2.64528E+11,0.156018123,2.550400568
TBMS.JK,2020Q2,TBMS.JK2020Q2,Industrial Metals and Mining,1.342735991,3.566432318,1,1,2.24903E+12,1.46135E+12,1533341000,-0.874725872,-5.312084886
TCID.JK,2020Q2,TCID.JK2020Q2,Personal Goods,-2.512557829,-3.100722903,1,1,2.55066E+12,5.32049E+11,52299440490,1.729751668,-21.72059725
TELE.JK,2020Q2,TELE.JK2020Q2,Telecommunications Equipment,-97.74862958,-451.5529067,0,1,9.22619E+12,4.50688E+12,1.22846E+11,-0.252069778,-14.00206594
TGKA.JK,2020Q2,TGKA.JK2020Q2,"Personal Care, Drug and Grocery Stores",3.437693244,8.091860098,0,1,3.64321E+12,1.60388E+12,1.1877E+11,0.044046824,-18.17277785
TIFA.JK,2020Q2,TIFA.JK2020Q2,Finance and Credit Services,0.63308871,1.890922517,0,1,1.19041E+12,8.13033E+11,7281612000,-0.253007503,-16.10398008
TKIM.JK,2020Q2,TKIM.JK2020Q2,Industrial Materials,-2.153729449,-4.419439165,1,1,5.02685E+13,2.32769E+13,4.02478E+11,-0.84338564,-0.289735949
TOBA.JK,2020Q2,TOBA.JK2020Q2,"Oil, Gas and Coal",0.660268698,0.554345029,0,1,1.18676E+13,5.89549E+12,1.40602E+11,-0.129048776,74.24327215
TPMA.JK,2020Q2,TPMA.JK2020Q2,Industrial Transportation,0.38735715,0.53490117,1,1,1.80908E+12,5.00914E+11,49309130000,0.279445013,46.89568122
TRIM.JK,2020Q2,TRIM.JK2020Q2,Investment Banking and Brokerage Services,0.091144262,0.296345738,1,1,3.16101E+12,2.30532E+12,2359760000,-0.45181999,-16.13579337
TRUS.JK,2020Q2,TRUS.JK2020Q2,Investment Banking and Brokerage Services,0.450674149,0.49582145,1,1,3.17302E+11,28247584110,5137757520,-0.014664226,14.47470681
TURI.JK,2020Q2,TURI.JK2020Q2,Retailers,-0.301705065,-0.447219213,1,1,6.3463E+12,2.27972E+12,1.70535E+11,-0.095082002,-11.17539471
ULTJ.JK,2020Q2,ULTJ.JK2020Q2,Food Producers,1.716872151,1.972088892,0,1,7.13281E+12,1.14861E+12,3.73552E+11,0.53498581,12.96604854
UNIT.JK,2020Q2,UNIT.JK2020Q2,Investment Banking and Brokerage Services,0.019198749,0.070006035,1,1,4.18717E+11,2.8478E+11,5330999000,-0.016834417,-22.45411496
UNTR.JK,2020Q2,UNTR.JK2020Q2,Industrial Engineering,2.093300745,3.674019796,1,1,1.14909E+14,5.18103E+13,3.29476E+12,-0.30213933,-19.04101298
WAPO.JK,2020Q2,WAPO.JK2020Q2,Food Producers,-1.352630908,-1.513632924,0,1,90601740550,29507000690,92594770,-1.241902121,386.9818124
WINS.JK,2020Q2,WINS.JK2020Q2,Industrial Transportation,-1.906941166,-2.948777703,1,1,3.97088E+12,1.75583E+12,67369856000,-1.876208957,20.46370379
WOMF.JK,2020Q2,WOMF.JK2020Q2,Finance and Credit Services,0.175077172,1.097457741,0,1,8.16609E+12,6.98105E+12,42131000000,-0.016679006,-0.155384482
WOOD.JK,2020Q2,WOOD.JK2020Q2,Household Goods and Home Construction,1.002514351,2.031848488,0,1,5.67208E+12,2.82701E+12,51503836370,-0.088511232,-2.209544575
